"filename", "language", "Astro", "XML", "JSON with Comments", "JSON", "JavaScript", "Markdown", "PostCSS", "comment", "blank", "total"
"/Users/althaf/Desktop/project kuliah/project-agama-kel-3/README.md", "Markdown", 0, 0, 0, 0, 0, 35, 0, 0, 12, 47
"/Users/althaf/Desktop/project kuliah/project-agama-kel-3/astro.config.mjs", "JavaScript", 0, 0, 0, 0, 2, 0, 0, 2, 2, 6
"/Users/althaf/Desktop/project kuliah/project-agama-kel-3/package-lock.json", "JSON", 0, 0, 0, 5083, 0, 0, 0, 0, 1, 5084
"/Users/althaf/Desktop/project kuliah/project-agama-kel-3/package.json", "JSON", 0, 0, 0, 14, 0, 0, 0, 0, 0, 14
"/Users/althaf/Desktop/project kuliah/project-agama-kel-3/public/background.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/althaf/Desktop/project kuliah/project-agama-kel-3/public/favicon.svg", "XML", 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/althaf/Desktop/project kuliah/project-agama-kel-3/public/menu.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/althaf/Desktop/project kuliah/project-agama-kel-3/public/swipe.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/althaf/Desktop/project kuliah/project-agama-kel-3/src/assets/astro.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/althaf/Desktop/project kuliah/project-agama-kel-3/src/components/Background.astro", "Astro", 15, 0, 0, 0, 0, 0, 0, 1, 2, 18
"/Users/althaf/Desktop/project kuliah/project-agama-kel-3/src/components/CTA.astro", "Astro", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/althaf/Desktop/project kuliah/project-agama-kel-3/src/components/Faktor.astro", "Astro", 85, 0, 0, 0, 0, 0, 0, 0, 7, 92
"/Users/althaf/Desktop/project kuliah/project-agama-kel-3/src/components/Footer.astro", "Astro", 16, 0, 0, 0, 0, 0, 0, 0, 2, 18
"/Users/althaf/Desktop/project kuliah/project-agama-kel-3/src/components/Header.astro", "Astro", 58, 0, 0, 0, 0, 0, 0, 1, 7, 66
"/Users/althaf/Desktop/project kuliah/project-agama-kel-3/src/components/Hero.astro", "Astro", 190, 0, 0, 0, 0, 0, 0, 0, 27, 217
"/Users/althaf/Desktop/project kuliah/project-agama-kel-3/src/components/Infographics.astro", "Astro", 84, 0, 0, 0, 0, 0, 0, 0, 7, 91
"/Users/althaf/Desktop/project kuliah/project-agama-kel-3/src/components/Reason.astro", "Astro", 125, 0, 0, 0, 0, 0, 0, 0, 16, 141
"/Users/althaf/Desktop/project kuliah/project-agama-kel-3/src/components/Slider.astro", "Astro", 102, 0, 0, 0, 0, 0, 0, 0, 11, 113
"/Users/althaf/Desktop/project kuliah/project-agama-kel-3/src/components/button.astro", "Astro", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/althaf/Desktop/project kuliah/project-agama-kel-3/src/layouts/Layout.astro", "Astro", 45, 0, 0, 0, 0, 0, 0, 0, 5, 50
"/Users/althaf/Desktop/project kuliah/project-agama-kel-3/src/pages/index.astro", "Astro", 25, 0, 0, 0, 0, 0, 0, 0, 3, 28
"/Users/althaf/Desktop/project kuliah/project-agama-kel-3/src/pages/kuis.astro", "Astro", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/althaf/Desktop/project kuliah/project-agama-kel-3/src/styles/global.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/althaf/Desktop/project kuliah/project-agama-kel-3/tsconfig.json", "JSON with Comments", 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"Total", "-", 752, 13, 5, 5097, 2, 35, 0, 4, 109, 6017